idx,attr_a,attr_b,attr_c
15690,1,c,no
15691,3,d,yes
15692,4,d,yes
15693,1,d,yes
15694,1,a,yes
15695,2,c,yes
15696,1,c,yes
15697,5,c,no
15698,1,d,no
15699,1,c,yes
15700,5,d,yes
15701,1,d,yes
15702,1,d,no
15703,4,a,yes
15704,4,c,yes
15705,1,d,no
15706,4,b,yes
15707,5,b,yes
15708,1,c,no
15709,1,d,no
15710,3,d,yes
15711,3,d,yes
15712,1,d,yes
15713,1,d,no
15714,1,b,no
15715,3,c,no
15716,1,b,yes
15717,3,c,yes
15718,1,c,yes
15719,5,b,yes
15720,1,d,yes
15721,5,d,yes
15722,4,b,yes
15723,1,b,yes
15724,1,d,yes
15725,3,d,yes
15726,1,d,yes
15727,3,a,yes
15728,1,b,no
15729,1,b,no
15730,1,c,yes
15731,1,b,yes
15732,5,d,no
15733,1,a,yes
15734,3,a,no
15735,4,c,no
15736,5,c,no
15737,2,c,yes
15738,5,b,yes
15739,1,c,yes
15740,3,a,no
15741,1,c,yes
15742,1,a,yes
15743,1,d,yes
15744,3,c,no
15745,1,d,yes
15746,4,d,yes
15747,5,c,no
15748,1,d,no
15749,2,d,no
15750,2,d,yes
15751,4,d,yes
15752,4,c,yes
15753,4,a,yes
15754,5,b,no
15755,3,b,yes
15756,4,b,yes
15757,1,d,yes
15758,1,b,no
15759,2,c,yes
15760,4,c,yes
15761,1,a,yes
15762,1,b,yes
15763,5,b,yes
15764,5,d,yes
15765,5,d,yes
15766,1,c,yes
15767,1,b,yes
15768,3,d,yes
15769,3,d,yes
15770,1,d,no
15771,1,d,yes
15772,1,c,no
15773,1,c,yes
15774,1,b,yes
15775,1,d,yes
15776,1,d,no
15777,5,d,no
15778,1,b,yes
15779,5,c,no
15780,1,d,no
15781,5,c,yes
15782,1,d,no
15783,1,d,yes
15784,1,c,yes
15785,1,d,yes
15786,2,d,yes
15787,1,d,yes
15788,1,c,yes
15789,1,d,yes
15790,1,d,yes
15791,1,c,yes
15792,4,d,yes
15793,3,d,yes
15794,1,c,yes
15795,3,b,yes
15796,1,a,yes
15797,1,b,yes
15798,3,d,no
15799,3,d,yes
15800,5,d,yes
15801,1,c,yes
15802,4,c,no
15803,1,a,yes
15804,1,a,yes
15805,1,d,yes
15806,4,d,no
15807,1,d,no
15808,1,b,yes
15809,3,d,no
15810,4,d,yes
15811,5,c,no
15812,1,c,yes
15813,5,d,yes
15814,1,b,yes
15815,1,c,yes
15816,1,b,yes
15817,1,d,no
15818,1,b,yes
15819,3,d,no
15820,3,d,yes
15821,4,b,no
15822,5,c,yes
15823,5,b,no
15824,1,c,no
15825,1,b,no
15826,3,c,yes
15827,1,d,no
15828,1,d,yes
15829,2,c,no
15830,1,d,yes
15831,1,b,yes
15832,1,c,yes
15833,4,d,yes
15834,3,d,yes
15835,5,c,yes
15836,1,b,yes
15837,2,c,yes
15838,2,c,no
15839,1,c,no
15840,3,d,yes
15841,1,c,yes
15842,3,c,yes
15843,3,d,yes
15844,5,c,yes
15845,1,d,no
15846,1,d,no
15847,1,d,yes
15848,5,c,yes
15849,2,c,yes
15850,5,d,yes
15851,3,d,yes
15852,4,c,yes
15853,2,c,yes
15854,4,c,no
15855,3,d,no
15856,1,d,yes
15857,1,d,no
15858,3,a,yes
15859,5,a,no
15860,3,c,no
15861,1,a,yes
15862,1,c,no
15863,1,a,yes
15864,1,c,no
15865,4,b,no
15866,2,d,yes
15867,4,c,yes
15868,1,b,no
15869,5,c,no
15870,4,a,no
15871,1,c,yes
15872,1,c,yes
15873,5,d,yes
15874,5,b,yes
15875,3,b,no
15876,4,d,no
15877,1,d,yes
15878,1,b,yes
15879,1,b,yes
15880,5,d,yes
15881,1,d,yes
15882,1,b,yes
15883,4,d,no
15884,1,b,no
15885,5,d,yes
15886,1,b,yes
15887,1,b,no
15888,3,c,no
15889,1,d,no
15890,3,d,no
15891,4,c,yes
15892,4,a,yes
15893,1,d,yes
15894,1,b,yes
15895,3,b,yes
15896,1,d,no
15897,1,d,no
15898,1,d,yes
15899,1,b,yes
15900,2,b,yes
15901,1,c,yes
15902,5,a,no
15903,3,c,yes
15904,1,c,no
15905,5,c,yes
15906,1,d,no
15907,5,d,no
15908,1,a,yes
15909,1,b,yes
15910,1,b,yes
15911,1,d,yes
15912,1,d,no
15913,5,d,yes
15914,3,a,yes
15915,1,d,no
15916,4,b,yes
15917,1,b,yes
15918,2,c,yes
15919,1,d,no
15920,1,b,yes
15921,3,b,yes
15922,5,b,no
15923,5,d,yes
15924,1,b,yes
15925,1,d,yes
15926,1,d,no
15927,1,d,yes
15928,5,d,no
15929,1,c,yes
15930,1,d,yes
15931,1,d,yes
15932,4,c,no
15933,5,c,yes
15934,1,a,no
15935,1,d,no
15936,5,c,yes
15937,5,c,yes
15938,1,a,no
15939,1,b,yes
15940,1,b,no
15941,2,d,yes
15942,4,d,yes
15943,4,c,yes
15944,1,d,yes
15945,1,a,no
15946,1,b,yes
15947,5,d,yes
15948,5,c,no
15949,1,d,yes
15950,1,a,yes
15951,1,c,no
15952,1,a,no
15953,1,c,no
15954,1,c,no
15955,1,d,yes
15956,3,c,yes
15957,1,d,yes
15958,2,b,no
15959,1,a,no
15960,1,c,no
15961,3,a,no
15962,2,b,yes
15963,5,b,yes
15964,1,c,no
15965,1,d,no
15966,4,d,yes
15967,1,b,yes
15968,5,d,no
15969,2,c,yes
15970,5,d,no
15971,2,d,yes
15972,1,c,no
15973,1,a,no
15974,3,d,yes
15975,1,c,no
15976,1,b,no
15977,1,b,yes
15978,1,d,no
15979,3,d,no
15980,4,c,no
15981,4,b,yes
15982,1,c,yes
15983,3,a,yes
15984,3,a,no
15985,1,b,yes
15986,1,d,yes
15987,1,d,yes
15988,5,d,yes
15989,4,b,yes
15990,1,d,yes
15991,1,c,yes
15992,1,d,yes
15993,5,c,no
15994,1,d,no
15995,1,c,yes
15996,1,d,yes
15997,4,d,yes
15998,1,d,no
15999,5,b,yes
16000,5,d,no
16001,5,c,no
16002,4,d,yes
16003,5,a,yes
16004,1,d,no
16005,1,b,yes
16006,4,d,yes
16007,1,c,yes
16008,1,d,yes
16009,1,c,no
16010,1,a,yes
16011,1,c,yes
16012,4,d,yes
16013,1,d,yes
16014,2,c,no
16015,1,c,no
16016,1,d,yes
16017,4,c,no
16018,2,c,no
16019,4,b,yes
16020,1,a,no
16021,5,d,yes
16022,1,c,yes
16023,1,a,yes
16024,1,d,yes
16025,1,b,no
16026,4,d,no
16027,4,c,yes
16028,4,c,yes
16029,5,b,no
16030,5,d,no
16031,1,c,no
16032,5,c,yes
16033,5,d,yes
16034,4,c,no
16035,1,d,yes
16036,4,d,no
16037,4,d,yes
16038,4,c,no
16039,5,c,yes
16040,5,a,yes
16041,1,d,no
16042,1,d,no
16043,1,b,no
16044,5,d,yes
16045,1,b,no
16046,4,a,no
16047,3,c,yes
16048,1,a,yes
16049,5,c,yes
16050,1,d,no
16051,4,a,yes
16052,4,b,yes
16053,1,d,no
16054,5,a,yes
16055,3,c,yes
16056,1,b,no
16057,4,c,no
16058,1,c,yes
16059,3,b,no
16060,1,a,yes
16061,3,d,no
16062,1,c,yes
16063,5,c,yes
16064,1,d,yes
16065,1,d,yes
16066,1,b,yes
16067,5,d,no
16068,2,b,yes
16069,4,c,yes
16070,1,b,yes
16071,3,d,yes
16072,5,d,no
16073,1,d,yes
16074,5,d,no
16075,1,a,yes
16076,1,d,no
16077,3,c,yes
16078,5,d,yes
16079,2,d,yes
16080,3,d,yes
16081,3,c,no
16082,5,c,no
16083,5,d,yes
16084,5,d,no
16085,4,c,yes
16086,1,d,yes
16087,1,d,yes
16088,5,d,yes
16089,1,c,yes
16090,1,d,yes
16091,1,d,no
16092,1,c,yes
16093,5,c,yes
16094,3,b,yes
16095,1,b,no
16096,1,c,no
16097,1,c,no
16098,3,a,yes
16099,1,a,yes
16100,1,c,yes
16101,1,d,yes
16102,5,d,yes
16103,2,d,yes
16104,5,c,yes
16105,4,d,yes
16106,1,c,no
16107,3,c,yes
16108,1,b,yes
16109,1,d,yes
16110,4,c,yes
16111,1,c,no
16112,4,b,yes
16113,1,b,yes
16114,1,c,yes
16115,1,b,yes
16116,1,a,no
16117,1,d,yes
16118,1,d,yes
16119,1,c,no
16120,4,b,yes
16121,3,b,yes
16122,1,d,no
16123,1,d,yes
16124,1,a,yes
16125,1,d,yes
16126,1,b,yes
16127,3,d,no
16128,1,c,yes
16129,1,b,no
16130,4,a,yes
16131,4,c,yes
16132,5,d,yes
16133,1,d,yes
16134,1,c,yes
16135,4,b,yes
16136,5,c,no
16137,1,b,yes
16138,3,a,no
16139,1,d,yes
16140,3,d,yes
16141,5,d,yes
16142,1,b,yes
16143,5,c,yes
16144,1,a,no
16145,3,c,yes
16146,1,d,yes
16147,5,c,yes
16148,1,c,no
16149,4,d,no
16150,1,d,yes
16151,1,d,yes
16152,1,c,no
16153,1,b,yes
16154,1,c,yes
16155,1,a,yes
16156,1,c,yes
16157,1,a,yes
16158,2,c,yes
16159,4,d,no
16160,1,a,yes
16161,4,c,yes
16162,1,a,yes
16163,4,d,yes
16164,5,d,no
16165,1,c,yes
16166,3,d,yes
16167,1,c,yes
16168,5,c,no
16169,4,c,yes
16170,1,d,no
16171,5,d,no
16172,4,d,yes
16173,5,d,no
16174,4,b,yes
16175,5,d,yes
16176,1,a,yes
16177,1,d,yes
16178,1,d,yes
16179,1,b,yes
16180,2,d,yes
16181,1,a,yes
16182,4,d,yes
16183,5,d,yes
16184,3,b,yes
16185,5,b,yes
16186,3,d,yes
16187,4,a,yes
16188,4,b,no
16189,1,d,yes
16190,3,d,no
16191,1,d,yes
16192,3,b,yes
16193,3,c,yes
16194,1,a,yes
16195,1,d,no
16196,1,d,no
16197,1,d,yes
16198,1,b,yes
16199,1,d,no
16200,4,b,yes
16201,1,d,no
16202,4,d,yes
16203,2,b,no
16204,5,c,yes
16205,1,c,yes
16206,1,d,yes
16207,1,c,no
16208,4,c,yes
16209,4,b,yes
16210,1,b,yes
16211,1,d,no
16212,5,d,yes
16213,3,a,no
16214,1,d,no
16215,5,c,yes
16216,1,d,no
16217,5,a,no
16218,1,b,yes
16219,1,a,no
16220,3,c,yes
16221,5,d,no
16222,5,d,yes
16223,5,c,no
16224,3,c,yes
16225,4,c,yes
16226,5,d,yes
16227,1,b,yes
16228,1,c,no
16229,1,b,yes
16230,1,c,yes
16231,5,d,yes
16232,5,c,yes
16233,5,d,yes
16234,3,d,yes
16235,1,c,yes
16236,5,a,yes
16237,3,b,yes
16238,1,d,no
16239,5,b,no
16240,1,d,yes
16241,5,c,yes
16242,3,b,yes
16243,3,c,no
16244,1,c,no
16245,1,d,no
16246,5,a,no
16247,5,c,yes
16248,1,b,yes
16249,1,d,yes
16250,1,d,yes
16251,1,d,yes
16252,1,c,no
16253,1,c,yes
16254,1,d,yes
16255,2,d,yes
16256,5,d,yes
16257,2,d,yes
16258,3,d,yes
16259,1,b,yes
16260,5,b,yes
16261,3,c,yes
16262,5,c,yes
16263,1,c,yes
16264,5,a,yes
16265,3,d,yes
16266,3,c,yes
16267,1,a,yes
16268,3,c,yes
16269,1,b,yes
16270,1,d,no
16271,1,c,yes
16272,1,a,yes
16273,1,c,yes
16274,1,c,yes
16275,1,d,yes
16276,4,c,no
16277,4,b,no
16278,1,d,yes
16279,5,a,yes
16280,3,b,yes
16281,1,b,yes
16282,1,c,no
16283,5,d,no
16284,3,c,no
16285,1,d,no
16286,1,b,yes
16287,1,b,yes
16288,1,b,no
16289,1,d,no
16290,1,d,yes
16291,5,d,yes
16292,1,c,yes
16293,2,d,yes
16294,1,d,yes
16295,5,b,yes
16296,2,c,yes
16297,5,d,no
16298,4,c,yes
16299,4,b,yes
16300,3,c,yes
16301,4,c,no
16302,5,c,no
16303,4,d,yes
16304,4,d,no
16305,2,c,no
16306,5,d,yes
16307,3,c,yes
16308,5,c,yes
16309,4,c,yes
16310,1,a,yes
16311,5,b,no
16312,1,b,yes
16313,1,d,yes
16314,1,b,no
16315,1,c,yes
16316,1,c,no
16317,4,d,no
16318,1,c,no
16319,1,b,no
16320,5,d,no
16321,5,d,yes
16322,1,d,yes
16323,4,a,no
16324,4,b,yes
16325,4,c,no
16326,3,d,yes
16327,4,d,yes
16328,4,d,no
16329,1,c,yes
16330,4,d,no
16331,1,a,yes
16332,1,a,yes
16333,4,d,no
16334,4,b,yes
16335,4,c,no
16336,1,b,yes
16337,1,c,no
16338,2,b,no
16339,1,b,no
16340,1,d,yes
16341,4,c,yes
16342,1,c,yes
16343,3,d,no
16344,1,c,no
16345,4,d,yes
16346,1,d,yes
16347,4,d,no
16348,5,d,yes
16349,3,d,yes
16350,1,d,yes
16351,5,d,yes
16352,1,d,yes
16353,4,d,no
16354,1,a,yes
16355,2,c,yes
16356,1,d,yes
16357,1,c,yes
16358,3,c,no
16359,2,d,yes
16360,1,b,no
16361,4,d,no
16362,5,d,no
16363,1,b,no
16364,4,d,no
16365,3,c,yes
16366,4,d,yes
16367,1,d,no
16368,5,d,yes
16369,5,b,yes
16370,5,c,yes
16371,4,c,yes
16372,5,d,yes
16373,1,d,yes
16374,3,c,yes
16375,4,c,yes
16376,2,a,yes
16377,1,c,yes
16378,4,d,yes
16379,1,a,yes
16380,1,a,no
16381,5,b,yes
16382,1,c,no
16383,1,d,no
16384,4,a,yes
16385,2,a,yes
16386,1,c,yes
16387,1,d,yes
16388,4,d,yes
16389,5,c,no
16390,5,d,no
16391,5,c,yes
16392,1,b,yes
16393,1,d,no
16394,1,d,yes
16395,1,d,yes
16396,1,c,no
16397,1,b,no
16398,2,c,yes
16399,2,b,yes
16400,1,d,no
16401,1,d,no
16402,1,d,no
16403,4,d,no
16404,4,b,no
16405,1,b,yes
16406,5,b,yes
16407,1,b,yes
16408,1,d,no
16409,1,a,no
16410,1,d,no
16411,1,d,yes
16412,4,d,yes
16413,1,c,no
16414,1,c,no
16415,1,b,yes
16416,1,d,yes
16417,5,c,yes
16418,1,d,no
16419,3,d,no
16420,4,c,no
16421,1,d,no
16422,1,c,yes
16423,5,c,yes
16424,1,c,yes
16425,1,b,no
16426,5,d,yes
16427,1,c,yes
16428,1,d,yes
16429,4,c,yes
16430,1,b,no
16431,1,c,yes
16432,4,a,no
16433,1,c,yes
16434,1,d,no
16435,3,c,yes
16436,5,c,yes
16437,3,c,no
16438,1,b,yes
16439,5,a,no
16440,5,d,yes
16441,2,c,no
16442,5,b,yes
16443,4,b,yes
16444,1,d,yes
16445,1,b,yes
16446,1,a,yes
16447,3,d,yes
16448,1,d,yes
16449,4,c,yes
16450,5,d,yes
16451,1,b,yes
16452,5,d,yes
16453,2,b,yes
16454,1,b,yes
16455,1,a,yes
16456,3,a,yes
16457,1,b,yes
16458,1,a,yes
16459,1,d,yes
16460,1,d,yes
16461,2,d,no
16462,4,d,yes
16463,3,d,yes
16464,5,d,no
16465,1,d,yes
16466,1,b,yes
16467,1,c,yes
16468,1,c,yes
16469,4,b,yes
16470,1,b,yes
16471,3,d,no
16472,1,c,no
16473,4,d,yes
16474,1,c,yes
16475,5,b,yes
16476,1,d,yes
16477,1,c,yes
16478,3,d,no
16479,1,a,yes
16480,1,b,yes
16481,4,c,yes
16482,4,c,no
16483,1,b,yes
16484,5,c,yes
16485,1,c,yes
16486,1,b,no
16487,1,d,yes
16488,5,d,no
16489,1,a,yes
16490,1,a,yes
16491,3,c,no
16492,1,b,no
16493,3,d,no
16494,4,a,no
16495,2,c,yes
16496,1,d,no
16497,4,b,yes
16498,5,c,yes
16499,4,d,yes
16500,5,c,yes
16501,3,b,no
16502,5,c,yes
16503,3,c,yes
16504,4,c,no
16505,1,d,no
16506,3,c,yes
16507,3,d,no
16508,1,b,no
16509,4,c,yes
16510,1,c,no
16511,3,c,yes
16512,3,d,yes
16513,5,d,yes
16514,4,a,no
16515,5,b,yes
16516,1,d,yes
16517,1,a,yes
16518,4,c,yes
16519,5,d,yes
16520,1,c,yes
16521,2,c,yes
16522,4,c,yes
16523,4,a,no
16524,5,c,no
16525,4,b,no
16526,1,a,yes
16527,1,d,no
16528,2,c,yes
16529,1,b,no
16530,1,c,no
16531,1,c,yes
16532,1,a,yes
16533,5,d,yes
16534,3,b,yes
16535,1,d,no
16536,1,d,no
16537,1,c,yes
16538,4,b,yes
16539,5,c,yes
16540,5,b,yes
16541,5,c,yes
16542,1,b,yes
16543,1,d,yes
16544,4,d,yes
16545,3,d,yes
16546,1,c,yes
16547,3,d,yes
16548,3,d,yes
16549,1,d,yes
16550,4,c,yes
16551,3,b,yes
16552,4,c,no
16553,4,b,no
16554,4,d,yes
16555,1,c,yes
16556,1,c,no
16557,4,a,no
16558,3,d,no
16559,4,c,yes
16560,3,d,yes
16561,5,c,yes
16562,1,c,no
16563,1,d,yes
16564,1,b,no
16565,1,c,yes
16566,2,b,yes
16567,1,d,no
16568,1,a,yes
16569,5,d,yes
16570,3,c,yes
16571,1,b,yes
16572,3,c,yes
16573,1,d,yes
16574,5,a,yes
16575,1,b,yes
16576,2,d,yes
16577,3,a,yes
16578,2,c,no
16579,5,c,no
16580,3,b,yes
16581,1,d,yes
16582,5,b,no
16583,5,d,yes
16584,3,c,no
16585,1,d,no
16586,1,c,no
16587,3,b,yes
16588,2,b,yes
16589,5,c,yes
16590,1,d,no
16591,2,c,yes
16592,1,c,yes
16593,1,d,yes
16594,1,c,yes
16595,3,a,yes
16596,1,d,yes
16597,4,a,yes
16598,4,c,yes
16599,4,b,yes
16600,5,d,yes
16601,4,d,yes
16602,1,b,yes
16603,4,d,yes
16604,2,b,no
16605,1,d,yes
16606,4,c,no
16607,1,c,no
16608,5,c,yes
16609,5,c,yes
16610,1,d,yes
16611,1,d,yes
16612,3,a,yes
16613,1,d,no
16614,2,c,yes
16615,5,b,no
16616,1,c,no
16617,1,c,yes
16618,4,d,no
16619,1,d,no
16620,1,b,yes
16621,5,c,yes
16622,2,c,no
16623,5,d,no
16624,5,d,yes
16625,5,b,yes
16626,1,a,yes
16627,1,c,no
16628,1,d,yes
16629,3,b,no
16630,4,b,no
16631,1,c,yes
16632,1,d,yes
16633,4,a,yes
16634,1,c,yes
16635,4,d,yes
16636,1,a,no
16637,4,d,yes
16638,3,d,no
16639,3,d,no
16640,5,d,yes
16641,3,c,no
16642,1,d,yes
16643,1,d,no
16644,5,d,yes
16645,1,d,yes
16646,4,b,yes
16647,3,b,no
16648,2,d,yes
16649,4,d,yes
16650,1,d,yes
16651,1,b,yes
16652,1,d,yes
16653,1,d,yes
16654,1,d,no
16655,1,b,yes
16656,5,d,yes
16657,1,c,yes
16658,4,a,yes
16659,3,c,yes
16660,3,d,yes
16661,1,d,yes
16662,4,d,no
16663,3,a,yes
16664,1,c,no
16665,4,d,yes
16666,1,b,yes
16667,3,d,yes
16668,1,b,yes
16669,5,d,yes
16670,5,d,yes
16671,3,a,no
16672,1,b,yes
16673,1,d,yes
16674,1,c,no
16675,5,c,yes
16676,2,d,yes
16677,1,d,yes
16678,1,b,yes
16679,5,d,no
16680,1,c,yes
16681,4,d,yes
16682,1,b,yes
16683,3,c,yes
16684,1,d,no
16685,5,a,yes
16686,5,c,yes
16687,4,c,no
16688,3,c,yes
16689,1,b,yes
16690,1,c,yes
16691,1,b,yes
16692,1,a,no
16693,4,c,yes
16694,1,a,yes
16695,1,c,no
16696,5,c,yes
16697,5,d,yes
16698,1,d,no
16699,1,c,yes
16700,1,d,yes
16701,1,d,yes
16702,4,d,no
16703,3,c,yes
16704,5,b,no
16705,4,b,yes
16706,3,c,yes
16707,1,d,no
16708,3,c,yes
16709,5,b,no
16710,1,d,yes
16711,3,d,no
16712,4,c,yes
16713,1,b,yes
16714,2,c,yes
16715,4,d,no
16716,1,c,no
16717,2,d,yes
16718,1,c,yes
16719,5,d,no
16720,1,c,no
16721,3,d,no
16722,1,b,yes
16723,1,d,no
16724,1,c,yes
16725,2,c,yes
16726,2,c,yes
16727,3,d,yes
16728,3,b,yes
16729,1,c,yes
16730,1,c,yes
16731,2,d,yes
16732,2,a,yes
16733,4,c,yes
16734,5,d,yes
16735,5,c,yes
16736,1,d,yes
16737,1,d,no
16738,3,a,no
16739,1,c,yes
16740,1,d,yes
16741,1,d,no
16742,1,b,yes
16743,3,c,no
16744,3,c,no
16745,1,d,no
16746,1,c,yes
16747,1,b,yes
16748,1,b,no
16749,1,d,yes
16750,4,b,no
16751,1,c,yes
16752,1,c,yes
16753,4,a,yes
16754,1,a,no
16755,1,a,yes
16756,2,a,yes
16757,1,d,yes
16758,1,d,no
16759,3,c,yes
16760,5,c,yes
16761,4,d,yes
16762,1,b,yes
16763,5,a,yes
16764,1,c,no
16765,1,d,yes
16766,1,b,yes
16767,1,c,yes
16768,3,a,no
16769,1,a,yes
16770,4,d,yes
16771,4,d,no
16772,5,c,yes
16773,1,c,yes
16774,4,a,yes
16775,3,d,yes
16776,1,d,no
16777,1,d,yes
16778,4,d,yes
16779,3,d,no
16780,1,b,yes
16781,4,d,yes
16782,1,d,yes
16783,1,a,yes
16784,5,a,yes
16785,3,d,yes
16786,4,b,yes
16787,4,b,no
16788,1,c,yes
16789,3,c,yes
16790,4,c,yes
16791,2,c,yes
16792,4,b,yes
16793,1,a,yes
16794,2,c,no
16795,1,c,yes
16796,4,c,no
16797,5,c,yes
16798,5,d,yes
16799,1,d,yes
16800,3,a,yes
16801,1,d,yes
16802,1,d,yes
16803,4,c,yes
16804,1,b,yes
16805,1,d,no
16806,4,c,yes
16807,1,d,no
16808,1,a,no
16809,1,c,no
16810,4,b,yes
16811,5,d,yes
16812,1,c,yes
16813,1,c,no
16814,4,d,yes
16815,1,d,yes
16816,2,d,no
16817,4,c,yes
16818,4,c,yes
16819,5,c,no
16820,1,d,no
16821,1,d,no
16822,5,c,no
16823,4,b,yes
16824,2,b,no
16825,4,d,yes
16826,1,c,yes
16827,3,a,yes
16828,3,a,yes
16829,3,d,yes
16830,5,d,yes
16831,1,c,yes
16832,1,c,yes
16833,5,d,no
16834,5,c,yes
16835,4,d,yes
16836,1,d,yes
16837,5,d,yes
16838,4,b,no
16839,4,a,yes
16840,1,c,yes
16841,1,b,yes
16842,5,d,no
16843,4,d,yes
16844,4,c,yes
16845,1,d,yes
16846,1,c,no
16847,1,d,no
16848,1,d,no
16849,1,d,yes
16850,1,d,no
16851,5,d,no
16852,5,d,yes
16853,3,d,no
16854,3,b,yes
16855,3,b,yes
16856,5,d,no
16857,4,b,yes
16858,3,d,yes
16859,5,d,no
16860,3,c,no
16861,1,c,yes
16862,1,c,no
16863,4,a,yes
16864,1,d,yes
16865,5,c,yes
16866,1,a,no
16867,1,d,no
16868,5,b,no
16869,5,d,no
16870,5,d,yes
16871,5,c,yes
16872,2,c,yes
16873,1,a,yes
16874,1,d,yes
16875,5,c,no
16876,1,d,no
16877,3,c,yes
16878,1,b,yes
16879,1,d,no
16880,4,d,no
16881,1,b,yes
16882,1,d,yes
16883,4,c,no
16884,1,d,no
16885,1,d,no
16886,1,d,yes
16887,1,c,yes
16888,1,d,yes
16889,5,b,yes
16890,1,c,no
16891,2,c,yes
16892,5,d,yes
16893,3,b,no
16894,5,c,yes
16895,5,c,yes
16896,1,c,yes
16897,3,b,no
16898,5,c,no
16899,1,c,no
16900,5,c,yes
16901,1,c,yes
16902,1,c,yes
16903,3,b,yes
16904,3,d,yes
16905,1,d,yes
16906,4,d,no
16907,3,d,no
16908,1,d,yes
16909,1,d,yes
16910,1,c,no
16911,3,c,yes
16912,1,a,yes
16913,1,d,yes
16914,4,b,yes
16915,4,c,no
16916,1,b,yes
16917,1,d,yes
16918,1,d,yes
16919,4,d,yes
16920,5,c,no
16921,3,c,no
16922,1,c,yes
16923,1,c,yes
16924,3,c,yes
16925,1,b,yes
16926,4,c,yes
16927,5,a,yes
16928,4,a,yes
16929,4,a,yes
16930,2,d,no
16931,4,d,yes
16932,1,c,yes
16933,5,c,no
16934,1,c,no
16935,3,c,yes
16936,5,c,yes
16937,3,a,yes
16938,2,b,yes
16939,1,b,no
16940,4,c,yes
16941,1,d,yes
16942,4,d,yes
16943,3,b,yes
16944,1,d,no
16945,3,c,yes
16946,1,d,yes
16947,2,c,yes
16948,1,c,no
16949,5,d,no
16950,4,d,no
16951,1,d,yes
16952,1,c,yes
16953,1,c,yes
16954,2,c,yes
16955,2,d,yes
16956,1,c,yes
16957,1,d,yes
16958,1,b,yes
16959,4,c,yes
16960,1,c,yes
16961,3,d,yes
16962,3,c,no
16963,1,c,no
16964,3,d,no
16965,1,d,yes
16966,5,a,yes
16967,4,c,yes
16968,1,d,no
16969,2,d,yes
16970,1,c,yes
16971,4,b,yes
16972,1,d,yes
16973,1,b,yes
16974,1,b,no
16975,3,a,no
16976,5,c,yes
16977,5,d,yes
16978,5,d,yes
16979,1,c,yes
16980,1,a,no
16981,1,c,yes
16982,5,b,no
16983,2,d,yes
16984,1,d,yes
16985,5,c,yes
16986,1,c,yes
16987,4,c,no
16988,5,c,yes
16989,3,a,no
16990,1,b,yes
16991,5,a,yes
16992,5,c,no
16993,4,d,no
16994,1,d,no
16995,1,b,no
16996,1,a,no
16997,1,c,yes
16998,1,d,yes
16999,3,d,no
17000,1,d,yes
17001,1,b,no
17002,4,c,yes
17003,1,b,no
17004,4,b,yes
17005,5,d,yes
17006,4,c,no
17007,2,b,yes
17008,1,a,no
17009,5,c,yes
17010,1,a,no
17011,5,d,yes
17012,1,b,yes
17013,4,d,yes
17014,2,c,no
17015,1,c,yes
17016,4,c,yes
17017,5,c,no
17018,2,a,yes
17019,4,b,no
17020,1,a,yes
17021,4,c,yes
17022,4,a,yes
17023,1,b,no
17024,1,c,yes
17025,3,c,yes
17026,1,d,yes
17027,1,a,yes
17028,3,b,yes
17029,5,c,yes
17030,1,d,no
17031,1,b,yes
17032,4,c,no
17033,5,d,yes
17034,4,c,yes
17035,5,c,no
17036,4,d,yes
17037,2,c,yes
17038,1,b,no
17039,4,d,no
17040,5,d,no
17041,5,c,no
17042,1,b,yes
17043,1,b,no
17044,3,c,no
17045,3,c,yes
17046,1,d,yes
17047,3,d,yes
17048,4,c,yes
17049,1,d,yes
17050,5,c,no
17051,4,d,yes
17052,1,d,no
17053,1,c,yes
17054,5,d,yes
17055,3,c,yes
17056,1,d,yes
17057,1,d,yes
17058,1,b,yes
17059,1,d,yes
17060,4,d,yes
17061,3,d,yes
17062,1,d,no
17063,5,d,yes
17064,5,d,no
17065,4,d,yes
17066,5,d,no
17067,1,a,yes
17068,4,d,yes
17069,1,a,no
17070,5,d,yes
17071,1,b,yes
17072,4,d,yes
17073,1,c,yes
17074,1,b,yes
17075,5,d,yes
17076,3,b,no
17077,1,b,yes
17078,1,c,no
17079,5,d,yes
17080,4,a,yes
17081,1,c,no
17082,4,c,no
17083,5,c,no
17084,3,c,yes
17085,2,c,yes
17086,1,b,yes
17087,1,d,no
17088,1,c,yes
17089,4,b,yes
17090,1,b,yes
17091,1,c,yes
17092,1,c,yes
17093,5,d,no
17094,4,b,no
17095,1,d,no
17096,1,b,no
17097,1,a,yes
17098,1,d,yes
17099,4,c,yes
17100,1,c,yes
17101,5,c,yes
17102,4,d,yes
17103,3,b,yes
17104,3,c,yes
17105,3,d,no
17106,1,c,no
17107,3,d,yes
17108,5,c,yes
17109,1,b,no
17110,3,d,yes
17111,1,c,no
17112,3,d,no
17113,5,d,yes
17114,1,a,no
17115,1,a,no
17116,4,b,yes
17117,2,d,yes
17118,4,a,yes
17119,3,c,yes
17120,5,c,no
17121,5,d,yes
17122,1,c,yes
17123,4,a,yes
17124,5,b,yes
17125,5,b,no
17126,3,b,yes
17127,5,c,yes
17128,1,b,no
17129,1,c,yes
17130,2,c,yes
17131,1,c,yes
17132,4,b,no
17133,1,b,no
17134,4,a,yes
17135,3,c,no
